datetime,P,PE,T_max,T_min,GF,Q
01-Jan-1948,0,0.76,0.1167,-13.2278,14.83,0.0019
02-Jan-1948,0,0.762,7.3333,-11.5111,14.83,0.0019
03-Jan-1948,0,0.757,13.6,-2.3444,14.83,0.0025
04-Jan-1948,0,0.753,9.1278,-4.3889,14.83,0.0057
05-Jan-1948,0,0.751,8.6444,-2.1,14.83,0.0094
06-Jan-1948,0,0.749,12.9889,-5.6667,14.83,0.0076
07-Jan-1948,0,0.748,20.8,-1.3333,14.83,0.0057
08-Jan-1948,0.05,0.748,15.3222,-0.2667,14.83,0.005
09-Jan-1948,0.03,0.749,9.3167,-0.7167,14.83,0.0044
10-Jan-1948,0,0.751,12.1111,-0.3722,14.83,0.0038
11-Jan-1948,0,0.754,13.5833,-3.4056,14.83,0.0044
12-Jan-1948,0,0.757,5.5667,-4.05,14.83,0.005
13-Jan-1948,0,0.762,1.35,-10.6278,14.83,0.0044
14-Jan-1948,0.07,0.768,14.35,-9.5167,14.83,0.0038
15-Jan-1948,0.31,0.774,9.6722,-6.3111,14.83,0.0025
16-Jan-1948,0.13,0.782,-2.7389,-12.5722,14.83,0.0019
17-Jan-1948,0.11,0.79,4.65,-14.3889,14.83,0.0019
18-Jan-1948,0.08,0.799,0.8722,-7.6111,14.83,0.0019
19-Jan-1948,0,0.809,4.7333,-15.6667,14.83,0.0019
20-Jan-1948,0.01,0.82,10.4944,-8.6667,14.83,0.0019
21-Jan-1948,0.03,0.832,11.2889,-3.9167,14.83,0.0019
22-Jan-1948,0.03,0.845,8.8889,-7.8167,14.83,0.0019
23-Jan-1948,0.45,0.859,0.6167,-14.6222,14.83,0.0019
24-Jan-1948,1.28,0.874,-1.4667,-12.3333,14.83,0.0019
25-Jan-1948,3.27,0.889,-2.5167,-10.7611,14.83,0.0019
26-Jan-1948,0.92,0.906,-5.9111,-14.5,14.83,0.0019
27-Jan-1948,0.17,0.923,-10.7444,-11.4667,14.83,0.0019
28-Jan-1948,0,0.941,-5.1444,-8.8056,14.83,0.0019
29-Jan-1948,0.17,0.96,0.3,-15.3444,14.83,0.0025
30-Jan-1948,0.09,0.98,0.75,-11.0611,14.83,0.0025
