datetime,P,PE,T_max,T_min,GF,Q
01-Jan-1948,0.64,0.31,-0.1944,-1.5944,14.64,1.6652
02-Jan-1948,0.23,0.317,0.4167,-7.2444,14.64,1.8838
03-Jan-1948,0,0.316,3.2,-11.6778,14.64,0.5901
04-Jan-1948,0,0.316,3.2056,-2.5611,14.64,0.3903
05-Jan-1948,0,0.316,4.7444,-5.4833,14.64,0.2685
06-Jan-1948,0,0.317,8.3889,-4.7056,14.64,0.2227
07-Jan-1948,0,0.318,14.15,-2.8667,14.64,0.2227
08-Jan-1948,0,0.32,14.0333,0.2167,14.64,0.2102
09-Jan-1948,0,0.323,10.7556,0.7056,14.64,0.4663
10-Jan-1948,0,0.327,3.2667,-2.6444,14.64,0.4413
11-Jan-1948,0,0.331,6.4111,-4.8778,14.64,0.2852
12-Jan-1948,0,0.336,5.7833,0.5167,14.64,0.1977
13-Jan-1948,0.02,0.342,0.1778,-9.9056,14.64,0.1374
14-Jan-1948,0,0.348,0.8556,-15.6278,14.64,0.1155
15-Jan-1948,0,0.355,3.1944,-11.5222,14.64,0.0905
16-Jan-1948,0,0.363,1.2278,-13.9444,14.64,0.0562
17-Jan-1948,0,0.371,-6.5111,-16.7056,14.64,0.052
18-Jan-1948,0,0.38,-1.7389,-16.0722,14.64,0.0468
19-Jan-1948,0,0.39,3.5667,-8.5889,14.64,0.0437
20-Jan-1948,0,0.4,6.25,-9.3778,14.64,0.0416
21-Jan-1948,1.19,0.411,1.05,-5.4833,14.64,0.0437
22-Jan-1948,0.71,0.423,-3.8667,-11.8167,14.64,0.0406
23-Jan-1948,0.15,0.435,-8.2167,-13.4278,14.64,0.0406
24-Jan-1948,0,0.448,-3.5778,-11.9889,14.64,0.0395
25-Jan-1948,0.86,0.461,-2.7167,-14.9444,14.64,0.0364
26-Jan-1948,1.15,0.476,-6.0167,-14.3111,14.64,0.0354
27-Jan-1948,0.29,0.491,-7.3111,-15.9611,14.64,0.0333
28-Jan-1948,0,0.506,-5.3444,-10.6833,14.64,0.0333
29-Jan-1948,0,0.522,0.6944,-14.9389,14.64,0.0312
30-Jan-1948,1.39,0.539,-1.6333,-9.1222,14.64,0.0291
31-Jan-1948,1.31,0.556,-0.2333,-10.2722,14.64,0.0271
01-Feb-1948,0,0.574,3.2222,-15,16.3,0.0302
02-Feb-1948,0.51,0.593,2.9889,-11.5667,16.3,0.0302
03-Feb-1948,2.97,0.612,-1.0889,-6.4,16.3,0.0302
04-Feb-1948,3.16,0.632,-2.2667,-6.0611,16.3,0.0343
05-Feb-1948,0,0.652,-2.2278,-6.9111,16.3,0.0333
06-Feb-1948,0.24,0.673,1.0556,-14.5444,16.3,0.0333
07-Feb-1948,0,0.695,-0.7667,-7.8333,16.3,0.0302
08-Feb-1948,0,0.717,-1.2056,-16.8389,16.3,0.0271
09-Feb-1948,0,0.74,-2.0833,-15.9778,16.3,0.0271
10-Feb-1948,0.76,0.763,0.3167,-13.3444,16.3,0.0271
11-Feb-1948,1.14,0.787,0.8444,-5.9389,16.3,0.0271
12-Feb-1948,4.53,0.811,-2.1722,-10.0833,16.3,0.0271
13-Feb-1948,4.55,0.836,-1.45,-7.7278,16.3,0.0271
14-Feb-1948,1.19,0.861,4.6556,-8.8278,16.3,0.0271
15-Feb-1948,0,0.887,11.2833,-11.7778,16.3,0.0271
16-Feb-1948,0,0.914,15.8722,-0.2833,16.3,0.5932
17-Feb-1948,0,0.94,19.55,-2.6444,16.3,4.3712
18-Feb-1948,0,0.968,18.25,1.1056,16.3,4.1839
19-Feb-1948,0,0.996,14.0611,1.7222,16.3,1.8421
20-Feb-1948,1.79,1.024,0.3667,-9.65,16.3,0.8846
21-Feb-1948,0.36,1.053,-0.6278,-8.0222,16.3,0.4663
22-Feb-1948,0.03,1.083,3.05,-12.1944,16.3,0.2925
23-Feb-1948,0.71,1.112,6.8056,-4.1222,16.3,0.229
24-Feb-1948,0.63,1.143,9.6,0.7278,16.3,0.1801
25-Feb-1948,1.01,1.173,11.7278,4.65,16.3,0.1801
26-Feb-1948,7.25,1.205,15.8889,3.0222,16.3,0.2654
27-Feb-1948,5.4,1.236,14.7944,7.5389,16.3,0.8867
28-Feb-1948,0.58,1.268,10.8056,3.3833,16.3,4.3504
29-Feb-1948,3.13,1.3,6.8222,-3.4333,16.3,1.2073
01-Mar-1948,12.11,1.333,3.9278,-1.1444,24.27,0.7317
02-Mar-1948,7.16,1.366,3.4944,-0.2444,24.27,7.2645
03-Mar-1948,0.02,1.4,1.4833,-3.1889,24.27,3.0182
04-Mar-1948,2.56,1.434,2.9778,-5.2556,24.27,1.2073
05-Mar-1948,5.1,1.468,2.8556,-5.1111,24.27,0.5901
06-Mar-1948,6.69,1.503,4.5833,-0.9056,24.27,2.2585
07-Mar-1948,0.2,1.538,3.6611,-2.9778,24.27,4.3088
08-Mar-1948,0,1.573,2.0389,-5.6944,24.27,1.4883
09-Mar-1948,1.31,1.609,-0.9111,-6.8278,24.27,0.74
10-Mar-1948,7.09,1.644,-2.9,-9.9278,24.27,0.4663
11-Mar-1948,2.02,1.681,-5.0389,-16.5056,24.27,0.2654
12-Mar-1948,0,1.717,2.0611,-11.5444,24.27,0.2082
13-Mar-1948,0,1.754,10.2167,-12.85,24.27,0.2082
14-Mar-1948,0,1.791,16.3556,-0.7833,24.27,0.3185
15-Mar-1948,0.5,1.828,18.1333,6.9278,24.27,1.2593
16-Mar-1948,0.5,1.865,15.8556,3.0278,24.27,1.3946
17-Mar-1948,0,1.903,15.9,-1.45,24.27,0.8222
18-Mar-1948,2.4,1.941,20.2222,3.0722,24.27,0.5016
19-Mar-1948,2.18,1.979,24.2111,11.65,24.27,0.3872
20-Mar-1948,21.84,2.018,24.8556,7.0111,24.27,0.3726
21-Mar-1948,8.16,2.056,20.8222,13.55,24.27,3.4137
22-Mar-1948,12.65,2.095,15.2167,5.3722,24.27,12.1769
23-Mar-1948,5.25,2.134,17.3611,6.3389,24.27,9.8248
24-Mar-1948,0.25,2.172,22.2667,2.7722,24.27,7.5351
25-Mar-1948,10.77,2.212,23.9833,7.4611,24.27,2.144
26-Mar-1948,3.38,2.251,20.3556,12.5389,24.27,1.2593
27-Mar-1948,0.73,2.29,13.7278,0.4278,24.27,1.1657
28-Mar-1948,0,2.33,13.8611,-4.4889,24.27,0.8014
29-Mar-1948,3.62,2.369,16.8944,2.7333,24.27,0.5724
30-Mar-1948,6.26,2.409,14.1722,3.9778,24.27,0.9513
31-Mar-1948,6.01,2.449,12.3889,7.5056,24.27,2.6852
01-Apr-1948,0,2.488,12.2778,1.5778,46.87,1.124
02-Apr-1948,0,2.528,15.0611,0.5667,46.87,0.6453
03-Apr-1948,0,2.568,20.5111,0.9333,46.87,0.4663
04-Apr-1948,1.46,2.608,23.5111,7.8611,46.87,0.3768
05-Apr-1948,0.81,2.648,23.75,11.7389,46.87,0.4111
06-Apr-1948,0.68,2.687,24.0278,8.3,46.87,0.383
07-Apr-1948,1.05,2.727,25.1944,13.5611,46.87,0.3185
08-Apr-1948,0,2.767,21.9167,8.0944,46.87,0.2591
09-Apr-1948,0.29,2.807,16.6111,-0.4667,46.87,0.2071
10-Apr-1948,0.91,2.847,19.3,6.9667,46.87,0.1832
11-Apr-1948,7.69,2.886,17.6944,12.3222,46.87,0.1748
12-Apr-1948,5.33,2.926,12.55,4.5778,46.87,0.2248
13-Apr-1948,3.3,2.965,10.65,4.1333,46.87,0.306
14-Apr-1948,0,3.005,19.3278,3.7167,46.87,0.2789
15-Apr-1948,0,3.044,22.7667,5.35,46.87,0.2394
16-Apr-1948,0,3.083,22.2667,11.7667,46.87,0.2009
17-Apr-1948,0,3.122,22.65,3.4167,46.87,0.1655
18-Apr-1948,0,3.161,29.75,9.5167,46.87,0.1457
19-Apr-1948,0.24,3.2,28.8,17.7278,46.87,0.1259
20-Apr-1948,0,3.238,25.7222,16.4722,46.87,0.1155
21-Apr-1948,0.09,3.277,20.9556,5.15,46.87,0.102
22-Apr-1948,0.61,3.315,23.5111,7.6389,46.87,0.0947
23-Apr-1948,0.75,3.353,29.0889,14.7056,46.87,0.0853
24-Apr-1948,1.17,3.391,28.5889,16.0944,46.87,0.0812
25-Apr-1948,6.48,3.429,28.05,17,46.87,0.076
26-Apr-1948,4.25,3.466,25.4611,15.4111,46.87,0.0833
27-Apr-1948,0.75,3.503,23.0389,12.4167,46.87,0.0833
28-Apr-1948,0,3.54,21.35,9.9833,46.87,0.0781
29-Apr-1948,0.03,3.576,22.0167,6.4611,46.87,0.0718
30-Apr-1948,1.18,3.613,21.7111,6.6611,46.87,0.0645
01-May-1948,24.3,3.649,23.1722,11.0556,70.88,0.0624
02-May-1948,4.84,3.684,22.1167,12.3056,70.88,0.6026
03-May-1948,4.94,3.72,20.8389,4.6444,70.88,0.4663
04-May-1948,6.08,3.755,19.9944,11.3056,70.88,0.4486
05-May-1948,2.73,3.79,18.4056,7.4722,70.88,0.3351
06-May-1948,2.27,3.824,17.9889,10.5944,70.88,0.2487
07-May-1948,0.43,3.858,22.3,5.2389,70.88,0.1894
08-May-1948,0,3.892,24.9778,6.8056,70.88,0.1509
09-May-1948,4.3,3.925,26.05,15.5167,70.88,0.1228
10-May-1948,3.15,3.958,23.7222,17.3833,70.88,0.1082
11-May-1948,2.37,3.991,18.4889,14.7611,70.88,0.0999
12-May-1948,0.26,4.023,17.1556,11.5778,70.88,0.0947
13-May-1948,0.09,4.055,20.2889,9.8222,70.88,0.0874
