datetime,P,PE,T_max,T_min,GF,Q
01-Jan-1948,16.48,0.12,-0.0889,-2.8889,5.07,0.3164
02-Jan-1948,0.76,0.123,0.0611,-3.4778,5.07,0.4768
03-Jan-1948,1.23,0.121,0.0278,-3.2444,5.07,0.6523
04-Jan-1948,1.87,0.12,0.5222,-2.5056,5.07,0.7401
05-Jan-1948,1.62,0.119,1.5222,-3.6222,5.07,0.7667
06-Jan-1948,1.78,0.119,1.0111,-4.5444,5.07,0.7144
07-Jan-1948,0.22,0.119,0.7389,-11.2167,5.07,0.6275
08-Jan-1948,0,0.121,3.6333,-6.5778,5.07,0.6647
09-Jan-1948,0,0.122,4.5556,-0.6667,5.07,0.6647
10-Jan-1948,0.02,0.125,0.6889,-9.5944,5.07,0.7401
11-Jan-1948,0.31,0.128,1.0444,-9.4722,5.07,0.8464
12-Jan-1948,0.12,0.131,3.6944,-2.9167,5.07,0.8464
13-Jan-1948,0.11,0.136,0.1,-7.5167,5.07,0.8065
14-Jan-1948,0.04,0.141,-4.6944,-14.7222,5.07,0.6771
15-Jan-1948,0.19,0.146,-3.0833,-15.8667,5.07,0.4875
16-Jan-1948,0,0.152,-1.7222,-12.4833,5.07,0.4263
17-Jan-1948,0,0.159,-7.5111,-16.1667,5.07,0.3545
18-Jan-1948,0.04,0.167,-8.2056,-16.5389,5.07,0.3102
19-Jan-1948,0.02,0.175,-3.5111,-15.8556,5.07,0.2836
20-Jan-1948,0.06,0.184,0.6,-11.6611,5.07,0.257
21-Jan-1948,0.25,0.193,-0.5722,-8.2778,5.07,0.2482
22-Jan-1948,0,0.203,-5.8722,-15.2167,5.07,0.2304
23-Jan-1948,0.85,0.213,-10.6389,-15.3278,5.07,0.2216
24-Jan-1948,1.28,0.225,-10.0167,-16.8611,5.07,0.2216
25-Jan-1948,0.06,0.236,-6.2167,-16.0611,5.07,0.2127
26-Jan-1948,0,0.249,-5.9778,-15.5056,5.07,0.2039
27-Jan-1948,0,0.262,-7.4667,-13.9444,5.07,0.2039
28-Jan-1948,0,0.275,-7.25,-16.8611,5.07,0.195
29-Jan-1948,0,0.289,-5.6111,-15.7389,5.07,0.195
30-Jan-1948,0,0.304,-7.0389,-15.5222,5.07,0.1861
31-Jan-1948,0,0.319,-8.1889,-17.5889,5.07,0.1861
01-Feb-1948,0,0.335,-5.9,-17.0222,3.74,0.1773
02-Feb-1948,0.49,0.352,-0.5889,-12.6,3.74,0.1773
03-Feb-1948,3.53,0.369,-3.1389,-12.2222,3.74,0.1773
04-Feb-1948,1.81,0.387,-5.9389,-10.65,3.74,0.1773
05-Feb-1948,0,0.405,-5.1278,-14.6722,3.74,0.1595
