datetime,P,PE,T_max,T_min,GF,Q
01-Jan-1948,0,0.24,0.65,-2.6333,6.31,0.2376
02-Jan-1948,0.34,0.247,-1.3667,-6.6833,6.31,0.2551
03-Jan-1948,0,0.247,1.2444,-10.5722,6.31,0.1589
04-Jan-1948,0,0.247,1.1333,-3.3722,6.31,0.1647
05-Jan-1948,0.08,0.247,2.2167,-6.2611,6.31,0.148
06-Jan-1948,0.02,0.249,3.7778,-7.1944,6.31,0.1254
07-Jan-1948,0,0.251,7.7167,-4.3167,6.31,0.1042
08-Jan-1948,0,0.254,10.9,-0.8556,6.31,0.0969
09-Jan-1948,0,0.257,8.6722,-1.05,6.31,0.1764
10-Jan-1948,0,0.262,0.3722,-4.15,6.31,0.3397
11-Jan-1948,0,0.267,3.0778,-4.2167,6.31,0.4242
12-Jan-1948,0.05,0.272,5.1278,-2.8389,6.31,0.2959
13-Jan-1948,0,0.279,-1.5167,-11.8167,6.31,0.1531
14-Jan-1948,0,0.286,-8.1556,-17.1833,6.31,0.1057
15-Jan-1948,0,0.294,4.8889,-11.7444,6.31,0.0875
16-Jan-1948,0,0.303,-0.0278,-16.3833,6.31,0.0802
17-Jan-1948,0,0.312,-10.0389,-16.0167,6.31,0.0729
18-Jan-1948,0,0.322,-3.7722,-16.6444,6.31,0.0692
19-Jan-1948,0,0.333,-2.65,-7.9722,6.31,0.062
20-Jan-1948,0,0.344,6.0556,-11.0222,6.31,0.0547
21-Jan-1948,0,0.356,3.2944,-9.15,6.31,0.0474
22-Jan-1948,0,0.369,-7.4444,-16.2444,6.31,0.0437
23-Jan-1948,0,0.383,-9.55,-15.9889,6.31,0.0401
24-Jan-1948,0,0.397,-5.8833,-17.1833,6.31,0.0364
25-Jan-1948,0.09,0.412,-1.8278,-12.2833,6.31,0.0364
26-Jan-1948,0.39,0.427,-4.6833,-13.8222,6.31,0.0364
27-Jan-1948,0,0.444,-9.6556,-17.2167,6.31,0.0328
28-Jan-1948,0,0.461,-7.7,-13.9944,6.31,0.0328
29-Jan-1948,0,0.478,1.2222,-16.1944,6.31,0.0328
30-Jan-1948,0.12,0.496,-0.7167,-9.6833,6.31,0.0328
31-Jan-1948,0.21,0.515,-1.3778,-11.1722,6.31,0.0292
01-Feb-1948,0,0.535,2.3778,-13.0278,6.35,0.0328
02-Feb-1948,1.58,0.555,4.0778,-7.9778,6.35,0.0328
03-Feb-1948,1.7,0.576,-1.7444,-10.0944,6.35,0.0328
04-Feb-1948,0.3,0.597,-5.4167,-8.7889,6.35,0.0328
05-Feb-1948,0,0.619,-2.7889,-8.3444,6.35,0.0328
06-Feb-1948,0,0.642,-0.0167,-16.0444,6.35,0.0292
07-Feb-1948,0,0.665,-0.2056,-6.5278,6.35,0.0292
