datetime,P,PE,T_max,T_min,GF,Q
01-Jan-1948,0,0.06,-3.1,-9.6333,19.99,0.2729
02-Jan-1948,5.04,0.063,-2.5444,-10.7611,19.99,0.2881
03-Jan-1948,5.38,0.063,0.2333,-5.5278,19.99,0.2881
04-Jan-1948,0,0.064,-1.75,-4.4167,19.99,0.2881
05-Jan-1948,0,0.065,0.3611,-4.2778,19.99,0.2729
06-Jan-1948,2.02,0.066,-0.3944,-5.3889,19.99,0.2881
07-Jan-1948,2.35,0.068,-0.9056,-6.4833,19.99,0.2881
08-Jan-1948,1.34,0.071,-1.6722,-9.4278,19.99,0.2881
09-Jan-1948,2.02,0.074,0.8833,-12.3167,19.99,0.2729
10-Jan-1948,3.7,0.078,-6.0278,-13.6111,19.99,0.2729
11-Jan-1948,0,0.082,-9.7944,-10.5056,19.99,0.2729
12-Jan-1948,0,0.087,-0.8778,-9.4778,19.99,0.2578
13-Jan-1948,0,0.092,0.95,-4.6222,19.99,0.2578
14-Jan-1948,0,0.098,-1.9278,-12.5278,19.99,0.2426
15-Jan-1948,0,0.105,-8.9778,-9.3833,19.99,0.2426
16-Jan-1948,0.34,0.112,-6.0611,-13.4722,19.99,0.2274
17-Jan-1948,6.72,0.119,-3.3889,-10.4944,19.99,0.2426
18-Jan-1948,9.74,0.127,-5.7389,-13.7389,19.99,0.2426
19-Jan-1948,0.34,0.136,-9.9056,-5.8278,19.99,0.2274
20-Jan-1948,0.34,0.145,-1.1667,-11.4667,19.99,0.2426
21-Jan-1948,1.68,0.154,-1.85,-15.0056,19.99,0.2274
22-Jan-1948,0,0.164,-2.4778,-9.8111,19.99,0.2426
23-Jan-1948,0,0.175,-8.5778,-14.6667,19.99,0.2274
24-Jan-1948,4.37,0.186,-14.8444,-2.4833,19.99,0.2426
25-Jan-1948,7.06,0.198,-6.9889,-13.3389,19.99,0.2274
26-Jan-1948,0,0.21,-6.8778,-11.7111,19.99,0.2274
27-Jan-1948,-99,0.222,-5.7389,-12.9667,19.99,0.2274
28-Jan-1948,-99,0.235,-7.4833,-13.3444,19.99,0.2274
29-Jan-1948,0,0.249,-3.1444,-14.5722,19.99,0.2274
30-Jan-1948,0,0.263,-13.5056,-8.0111,19.99,0.2123
31-Jan-1948,0,0.278,-10.3944,-4.0444,19.99,0.2123
01-Feb-1948,-99,0.293,-5.8778,-2.5833,1,0.2274
02-Feb-1948,-99,0.308,-0.8889,-10.0556,1,0.2123
03-Feb-1948,0,0.324,-5.6944,-15.4278,1,0.1971
04-Feb-1948,0,0.341,-14.4056,-6.7778,1,0.2123
05-Feb-1948,0,0.358,-6.3389,-13.4,1,0.2123
06-Feb-1948,0,0.375,-5.9056,-8.6056,1,0.1971
07-Feb-1948,0.61,0.393,-5.15,-9.5611,1,0.2123
08-Feb-1948,0.91,0.411,-3.85,-14.4389,1,0.2123
09-Feb-1948,0,0.43,-13.3,-8.1278,1,0.1971
10-Feb-1948,0,0.449,-10.2389,-0.6833,1,0.2123
11-Feb-1948,0.61,0.469,-7.5167,-3.5611,1,0.1971
12-Feb-1948,2.43,0.489,-0.1222,-11.7833,1,0.2123
13-Feb-1948,10.31,0.509,-1.6167,-15.0556,1,0.1971
14-Feb-1948,4.55,0.53,8.6944,-7.5278,1,0.2274
15-Feb-1948,0.91,0.551,-5.2889,-15.6556,1,0.3032
16-Feb-1948,0,0.573,-0.35,-15.0111,1,0.5155
17-Feb-1948,0,0.595,9.1667,-5.0611,1,0.5913
18-Feb-1948,1.21,0.617,3.5333,-5.8389,1,0.6065
19-Feb-1948,0.61,0.64,4.2778,-15.7667,1,0.5155
20-Feb-1948,-99,0.663,4.6778,-8.8111,1,0.4397
21-Feb-1948,-99,0.687,-5.2111,-15.7389,1,0.3942
22-Feb-1948,0,0.711,-3.1389,-13.9889,1,0.3639
23-Feb-1948,0,0.735,-3.7333,-13.8222,1,0.3336
24-Feb-1948,0,0.759,-1.2944,-12.0722,1,0.3184
25-Feb-1948,0,0.784,3.5944,-7.9278,1,0.3336
26-Feb-1948,0,0.81,2.75,-5.5556,1,0.3032
27-Feb-1948,0.61,0.835,2.1167,-5.6667,1,0.3184
28-Feb-1948,6.37,0.861,-3.4222,-10.3056,1,0.3032
29-Feb-1948,2.12,0.887,-2.0667,-10.7,1,0.3032
01-Mar-1948,0,0.914,-2.9611,-9.85,26.46,0.2881
02-Mar-1948,3.96,0.941,-3.75,-12.0556,26.46,0.2729
03-Mar-1948,3.3,0.968,2.1056,-8.15,26.46,0.2881
04-Mar-1948,0,0.995,-1.1333,-12.2056,26.46,0.2881
05-Mar-1948,0,1.023,-9.9667,-12.7889,26.46,0.2881
06-Mar-1948,-99,1.05,-0.2889,-7.1778,26.46,0.2578
07-Mar-1948,-99,1.079,-2.1222,-13.9111,26.46,0.2729
08-Mar-1948,1.98,1.107,1.0556,-7.8111,26.46,0.2881
09-Mar-1948,0.33,1.136,3.4,-14.5833,26.46,0.2729
10-Mar-1948,0,1.164,6.5222,-13.8667,26.46,0.2729
11-Mar-1948,4.62,1.193,-1.8278,-11.5611,26.46,0.2729
12-Mar-1948,1.65,1.223,-3.0833,-12.3944,26.46,0.2729
13-Mar-1948,0,1.252,-3.0333,-11.2833,26.46,0.2729
14-Mar-1948,0,1.282,0.9444,-11.8111,26.46,0.2729
